invoice_id,company_code,customer_segment,invoice_amount,payment_terms_days,late_payment_flag,days_to_pay
INV100000,1000,B,403.57,30,1,37
INV100001,3000,B,7147.84,30,0,29
INV100002,2000,B,785.45,60,0,49
INV100003,2000,C,673.68,45,1,51
INV100004,1000,B,3339.39,45,0,45
INV100005,1000,A,7815.4,45,0,37
INV100006,1000,C,4148.76,45,1,56
INV100007,3000,C,2536.01,45,1,48
INV100008,2000,C,2583.38,30,0,30
INV100009,2000,B,3017.09,30,1,38
INV100010,1000,B,2850.81,30,0,28
INV100011,3000,B,2140.33,60,1,66
INV100012,3000,C,1924.69,60,1,76
INV100013,1000,C,1741.4,14,1,18
INV100014,1000,A,1150.12,45,0,41
INV100015,1000,A,1527.82,60,0,57
INV100016,1000,B,654.73,30,1,36
INV100017,2000,C,1704.45,30,1,33
INV100018,2000,C,999.09,60,1,66
INV100019,1000,A,932.48,14,0,14
INV100020,2000,B,2014.12,45,1,49
INV100021,1000,B,4168.04,30,0,23
INV100022,1000,C,3136.9,60,1,71
INV100023,1000,C,704.65,60,0,58
INV100024,2000,C,998.47,60,1,68
INV100025,3000,B,3179.45,30,1,32
INV100026,1000,B,1002.76,60,1,62
INV100027,2000,A,1580.06,45,1,48
INV100028,2000,A,2515.01,30,0,30
INV100029,1000,C,1011.3,45,1,59
INV100030,2000,C,1926.05,14,1,15
INV100031,1000,C,812.07,30,1,40
INV100032,1000,C,1260.39,30,0,27
INV100033,3000,B,2190.47,30,0,27
INV100034,3000,B,695.2,14,0,14
INV100035,3000,C,2354.97,45,1,52
INV100036,1000,C,1786.86,30,1,37
INV100037,1000,A,2518.69,45,0,45
INV100038,2000,B,2068.02,14,1,18
INV100039,2000,A,4098.94,30,0,29
INV100040,1000,C,1949.12,30,1,39
INV100041,2000,B,1397.38,45,1,49
INV100042,1000,A,1945.7,30,1,34
INV100043,3000,B,2504.84,45,0,44
INV100044,1000,B,1861.83,60,0,58
INV100045,2000,B,1852.62,45,0,45
INV100046,1000,A,1186.55,30,0,28
INV100047,2000,B,1214.71,14,0,6
INV100048,2000,B,779.33,60,0,55
INV100049,1000,B,5165.44,14,0,9
INV100050,3000,B,857.21,60,1,65
INV100051,3000,C,1193.04,30,1,43
INV100052,3000,B,1174.92,60,0,59
INV100053,3000,B,3093.18,45,0,45
INV100054,2000,C,1514.79,60,1,68
INV100055,3000,B,3822.44,30,1,31
INV100056,1000,A,1207.01,45,1,49
INV100057,1000,A,2137.51,30,1,31
INV100058,1000,B,1095.31,30,0,16
INV100059,1000,B,6549.14,45,1,48
INV100060,1000,B,886.64,60,0,57
INV100061,1000,A,2177.41,60,0,50
INV100062,3000,A,2644.58,45,1,50
INV100063,1000,A,2317.58,30,1,36
INV100064,1000,B,1617.81,30,1,37
INV100065,2000,B,1672.55,45,1,53
INV100066,1000,B,1856.2,30,1,34
INV100067,3000,B,1655.4,30,0,30
INV100068,1000,C,3223.84,30,0,26
INV100069,3000,B,6811.13,30,0,26
INV100070,3000,B,1294.01,30,1,41
INV100071,1000,B,794.82,30,0,29
INV100072,1000,B,1714.76,14,1,15
INV100073,3000,B,8500.04,14,1,17
INV100074,2000,C,1116.32,60,1,70
INV100075,2000,C,4834.2,30,1,32
INV100076,3000,A,4947.41,30,0,22
INV100077,1000,C,1297.05,45,1,47
INV100078,1000,B,2543.74,30,0,28
INV100079,1000,A,4803.2,60,0,52
INV100080,3000,B,1440.18,45,0,45
INV100081,2000,C,1600.15,14,0,14
INV100082,1000,B,1275.37,30,0,30
INV100083,1000,B,983.53,60,0,53
INV100084,1000,B,1224.68,60,0,58
INV100085,1000,A,867.52,30,0,25
INV100086,2000,A,1845.4,45,1,46
INV100087,2000,A,1139.13,30,0,28
INV100088,3000,A,2080.31,60,1,62
INV100089,2000,A,710.85,30,0,24
INV100090,1000,A,2205.1,60,0,56
INV100091,2000,B,2981.31,45,0,45
INV100092,3000,A,546.62,45,1,52
INV100093,2000,B,2262.97,30,0,26
INV100094,3000,C,3776.68,30,0,22
INV100095,2000,B,874.99,30,0,22
INV100096,2000,B,4932.21,30,1,31
INV100097,2000,A,2324.85,30,0,27
INV100098,1000,A,1184.4,45,1,47
INV100099,1000,A,1748.54,30,1,32
INV100100,1000,A,2527.53,14,1,16
INV100101,2000,A,1892.4,60,0,49
INV100102,1000,A,2498.02,60,0,54
INV100103,2000,A,1040.64,60,0,53
INV100104,3000,A,2001.43,60,0,58
INV100105,1000,B,774.15,30,0,27
INV100106,2000,A,1691.32,30,0,30
INV100107,3000,B,1051.17,45,0,40
INV100108,1000,B,1162.91,45,1,52
INV100109,1000,B,3795.82,30,0,30
INV100110,1000,A,3479.99,45,0,45
INV100111,1000,B,2605.77,30,1,31
INV100112,3000,B,938.81,30,1,35
INV100113,3000,A,1495.41,30,0,28
INV100114,2000,C,3743.81,30,1,33
INV100115,3000,C,1968.51,30,1,35
INV100116,3000,A,7270.63,14,0,11
INV100117,1000,A,2289.28,60,0,47
INV100118,3000,C,2028.86,30,1,36
INV100119,2000,B,1501.97,30,0,25
INV100120,3000,A,1958.87,60,1,63
INV100121,3000,A,1649.98,60,1,64
INV100122,1000,B,2765.19,60,0,57
INV100123,1000,B,3209.98,45,1,54
INV100124,1000,B,1128.23,45,0,39
INV100125,2000,B,813.43,30,1,35
INV100126,3000,B,600.81,14,1,19
INV100127,3000,B,2452.33,30,0,27
INV100128,1000,A,932.6,30,1,34
INV100129,2000,A,496.84,30,0,30
INV100130,2000,B,2282.78,45,0,44
INV100131,1000,C,8069.12,30,1,41
INV100132,1000,B,1801.47,14,0,5
INV100133,1000,B,2990.2,30,1,37
INV100134,3000,A,1899.03,45,0,37
INV100135,1000,B,1703.88,14,1,20
INV100136,2000,B,3138.33,60,0,55
INV100137,2000,A,1519.04,30,0,24
INV100138,1000,A,2122.68,30,0,26
INV100139,3000,B,2192.98,30,1,34
INV100140,3000,A,1210.93,45,1,52
INV100141,1000,B,3278.78,30,0,27
INV100142,2000,A,1627.86,45,0,39
INV100143,1000,B,1148.89,30,0,26
INV100144,1000,A,2494.66,30,1,36
INV100145,1000,C,1054.6,60,0,57
INV100146,2000,B,1838.87,45,0,45
INV100147,2000,B,1798.18,45,1,46
INV100148,1000,B,3468.71,60,0,56
INV100149,1000,B,2403.83,60,1,62
INV100150,3000,A,1781.1,45,0,41
INV100151,1000,B,2953.24,45,1,48
INV100152,1000,B,4163.55,45,0,45
INV100153,2000,B,2526.74,45,0,43
INV100154,3000,B,1819.31,45,0,44
INV100155,1000,A,822.95,45,0,42
INV100156,2000,A,954.26,30,0,30
INV100157,3000,B,1505.48,60,1,63
INV100158,1000,B,1254.25,60,0,59
INV100159,2000,B,1616.17,14,1,17
INV100160,1000,B,1870.55,45,0,43
INV100161,2000,C,2484.47,30,1,42
INV100162,2000,B,1733.16,30,0,29
INV100163,2000,A,2420.92,45,0,42
INV100164,1000,A,1879.36,30,0,20
INV100165,3000,A,552.65,45,1,47
INV100166,1000,A,1029.06,45,1,55
INV100167,1000,A,1658.3,30,0,27
INV100168,1000,A,874.96,14,0,8
INV100169,2000,A,2591.41,30,0,25
INV100170,2000,A,4529.88,45,0,37
INV100171,1000,C,3756.55,60,1,66
INV100172,2000,A,1590.71,45,1,48
INV100173,1000,B,4422.39,30,0,25
INV100174,2000,B,1976.73,45,0,32
INV100175,1000,C,1476.97,30,1,37
INV100176,2000,A,1251.33,45,1,50
INV100177,1000,B,1507.97,30,1,32
INV100178,3000,C,1432.38,45,1,47
INV100179,1000,C,2002.7,30,1,44
INV100180,1000,C,1990.9,60,1,68
INV100181,1000,A,1811.35,30,1,34
INV100182,3000,A,2349.98,45,0,44
INV100183,3000,B,3693.71,60,1,61
INV100184,1000,C,3196.25,30,1,35
INV100185,2000,B,741.79,60,0,58
INV100186,3000,B,390.59,45,1,47
INV100187,2000,A,3167.16,14,0,14
INV100188,2000,B,796.22,30,0,30
INV100189,1000,A,1579.94,45,0,37
INV100190,1000,B,895.99,14,0,9
INV100191,3000,B,613.27,30,0,27
INV100192,3000,B,2502.08,30,0,27
INV100193,2000,A,2851.19,45,1,46
INV100194,1000,A,1279.33,14,1,30
INV100195,1000,B,381.98,60,1,61
INV100196,2000,A,1302.78,60,0,58
INV100197,3000,B,2287.2,60,1,63
INV100198,3000,A,744.46,45,1,47
INV100199,3000,B,2018.31,30,0,30
INV100200,2000,B,1791.51,45,0,44
INV100201,1000,A,2559.52,14,0,11
INV100202,1000,B,1942.53,14,1,20
INV100203,3000,A,1008.44,30,0,25
INV100204,2000,A,3706.87,30,1,32
INV100205,1000,C,1643.99,45,1,49
INV100206,1000,B,1778.66,45,1,51
INV100207,2000,C,1032.81,30,1,37
INV100208,1000,A,1385.8,30,0,28
INV100209,1000,B,1063.28,60,0,53
INV100210,2000,B,1629.83,30,0,27
INV100211,2000,B,5049.4,30,1,34
INV100212,2000,B,793.82,30,1,35
INV100213,1000,B,686.68,45,1,48
INV100214,2000,B,4370.8,45,1,49
